Date,Year,Month,MonthName,Quarter,Day,DayOfWeek,DateKey
2019-06-03,2019,6,June,2,3,Monday,154
2019-06-04,2019,6,June,2,4,Tuesday,155
2019-06-05,2019,6,June,2,5,Wednesday,156
2019-06-06,2019,6,June,2,6,Thursday,157
2019-06-07,2019,6,June,2,7,Friday,158
2019-06-08,2019,6,June,2,8,Saturday,159
2019-06-09,2019,6,June,2,9,Sunday,160
2019-06-10,2019,6,June,2,10,Monday,161
2019-06-11,2019,6,June,2,11,Tuesday,162
2019-06-12,2019,6,June,2,12,Wednesday,163
2019-06-13,2019,6,June,2,13,Thursday,164
2019-06-14,2019,6,June,2,14,Friday,165
2019-06-15,2019,6,June,2,15,Saturday,166
2019-06-16,2019,6,June,2,16,Sunday,167
2019-06-17,2019,6,June,2,17,Monday,168
2019-06-18,2019,6,June,2,18,Tuesday,169
2019-06-19,2019,6,June,2,19,Wednesday,170
2019-06-20,2019,6,June,2,20,Thursday,171
2019-06-21,2019,6,June,2,21,Friday,172
2019-06-22,2019,6,June,2,22,Saturday,173
2019-06-23,2019,6,June,2,23,Sunday,174
2019-06-24,2019,6,June,2,24,Monday,175
2019-06-25,2019,6,June,2,25,Tuesday,176
2019-06-26,2019,6,June,2,26,Wednesday,177
2019-06-27,2019,6,June,2,27,Thursday,178
2019-06-28,2019,6,June,2,28,Friday,179
2019-06-29,2019,6,June,2,29,Saturday,180
2019-06-30,2019,6,June,2,30,Sunday,181
2019-07-01,2019,7,July,3,1,Monday,182
2019-07-02,2019,7,July,3,2,Tuesday,183
2019-07-03,2019,7,July,3,3,Wednesday,184
2019-07-04,2019,7,July,3,4,Thursday,185
2019-07-05,2019,7,July,3,5,Friday,186
2019-07-06,2019,7,July,3,6,Saturday,187
2019-07-07,2019,7,July,3,7,Sunday,188
2019-07-08,2019,7,July,3,8,Monday,189
2019-07-09,2019,7,July,3,9,Tuesday,190
2019-07-10,2019,7,July,3,10,Wednesday,191
2019-07-11,2019,7,July,3,11,Thursday,192
2019-07-12,2019,7,July,3,12,Friday,193
2019-07-13,2019,7,July,3,13,Saturday,194
2019-07-14,2019,7,July,3,14,Sunday,195
2019-07-15,2019,7,July,3,15,Monday,196
2019-07-16,2019,7,July,3,16,Tuesday,197
2019-07-17,2019,7,July,3,17,Wednesday,198
2019-07-18,2019,7,July,3,18,Thursday,199
2019-07-19,2019,7,July,3,19,Friday,200
2019-07-20,2019,7,July,3,20,Saturday,201
2019-07-21,2019,7,July,3,21,Sunday,202
2019-07-22,2019,7,July,3,22,Monday,203
2019-07-23,2019,7,July,3,23,Tuesday,204
2019-07-24,2019,7,July,3,24,Wednesday,205
2019-07-25,2019,7,July,3,25,Thursday,206
2019-07-26,2019,7,July,3,26,Friday,207
2019-07-27,2019,7,July,3,27,Saturday,208
2019-07-28,2019,7,July,3,28,Sunday,209
2019-07-29,2019,7,July,3,29,Monday,210
2019-07-30,2019,7,July,3,30,Tuesday,211
2019-07-31,2019,7,July,3,31,Wednesday,212
2019-08-01,2019,8,August,3,1,Thursday,213
2019-08-02,2019,8,August,3,2,Friday,214
2019-08-03,2019,8,August,3,3,Saturday,215
2019-08-04,2019,8,August,3,4,Sunday,216
2019-08-05,2019,8,August,3,5,Monday,217
2019-08-06,2019,8,August,3,6,Tuesday,218
2019-08-07,2019,8,August,3,7,Wednesday,219
2019-08-08,2019,8,August,3,8,Thursday,220
2019-08-09,2019,8,August,3,9,Friday,221
2019-08-10,2019,8,August,3,10,Saturday,222
2019-08-11,2019,8,August,3,11,Sunday,223
2019-08-12,2019,8,August,3,12,Monday,224
2019-08-13,2019,8,August,3,13,Tuesday,225
2019-08-14,2019,8,August,3,14,Wednesday,226
2019-08-15,2019,8,August,3,15,Thursday,227
2019-08-16,2019,8,August,3,16,Friday,228
2019-08-17,2019,8,August,3,17,Saturday,229
2019-08-18,2019,8,August,3,18,Sunday,230
2019-08-19,2019,8,August,3,19,Monday,231
2019-08-20,2019,8,August,3,20,Tuesday,232
2019-08-21,2019,8,August,3,21,Wednesday,233
2019-08-22,2019,8,August,3,22,Thursday,234
2019-08-23,2019,8,August,3,23,Friday,235
2019-08-24,2019,8,August,3,24,Saturday,236
2019-08-25,2019,8,August,3,25,Sunday,237
2019-08-26,2019,8,August,3,26,Monday,238
2019-08-27,2019,8,August,3,27,Tuesday,239
2019-08-28,2019,8,August,3,28,Wednesday,240
2019-08-29,2019,8,August,3,29,Thursday,241
2019-08-30,2019,8,August,3,30,Friday,242
2019-08-31,2019,8,August,3,31,Saturday,243
2019-09-01,2019,9,September,3,1,Sunday,244
2019-09-02,2019,9,September,3,2,Monday,245
2019-09-03,2019,9,September,3,3,Tuesday,246
2019-09-04,2019,9,September,3,4,Wednesday,247
2019-09-05,2019,9,September,3,5,Thursday,248
2019-09-06,2019,9,September,3,6,Friday,249
2019-09-07,2019,9,September,3,7,Saturday,250
2019-09-08,2019,9,September,3,8,Sunday,251
2019-09-09,2019,9,September,3,9,Monday,252
2019-09-10,2019,9,September,3,10,Tuesday,253
2019-09-11,2019,9,September,3,11,Wednesday,254
